Team,Total Points,Total Games,Total Wins,Total Losses,Total Ties,PPG
Cate,9,3,3,0,0,3.0
La Reina,6,2,2,0,0,3.0
Laguna Blanca,6,2,2,0,0,3.0
Francis Parker,6,2,2,0,0,3.0
Washington,6,2,2,0,0,3.0
Balboa,3,1,1,0,0,3.0
Manteca,3,1,1,0,0,3.0
Convent of the Sacred Heart,3,1,1,0,0,3.0
College Prep,3,1,1,0,0,3.0
Atascadero,3,1,1,0,0,3.0
Mission Vista,3,1,1,0,0,3.0
Thacher,3,1,1,0,0,3.0
Cardinal Newman,3,1,1,0,0,3.0
Canyon Crest Academy,3,1,1,0,0,3.0
Granite Bay,3,1,1,0,0,3.0
Saint Francis,81,29,27,2,0,2.793103448275862
Salinas,58,21,19,1,1,2.761904761904762
The Nueva School,65,27,21,4,2,2.4074074074074074
Urban,12,5,4,1,0,2.4
Westmont,50,21,16,3,2,2.380952380952381
More,54,23,18,5,0,2.347826086956522
Menlo School,70,30,21,2,7,2.3333333333333335
Aragon,56,24,18,4,2,2.3333333333333335
Eastside College Prep,7,3,2,0,1,2.3333333333333335
Menlo-Atherton,53,23,16,2,5,2.3043478260869565
Aptos,55,24,18,5,1,2.2916666666666665
Silver Creek,50,22,15,2,5,2.272727272727273
Los Gatos,51,23,16,4,3,2.217391304347826
Independence,42,19,14,5,0,2.210526315789474
Cristo Rey San Jose Jesuit,11,5,3,0,2,2.2
Oak Grove,39,18,12,3,3,2.1666666666666665
Piedmont Hills,52,25,16,5,4,2.08
Mountain View,54,26,17,6,3,2.076923076923077
Archbishop Mitty,56,27,17,5,5,2.074074074074074
Sacred Heart Prep,58,28,18,6,4,2.0714285714285716
Leigh,45,22,15,7,0,2.0454545454545454
Soledad,46,23,15,7,1,2.0
Wilcox,42,21,13,5,3,2.0
San Clemente,4,2,1,0,1,2.0
Classical Academy,4,2,1,0,1,2.0
Lick-Wilmerding,4,2,1,0,1,2.0
Kathleen MacDonald,4,2,1,0,1,2.0
Gonzales,45,23,14,6,3,1.9565217391304348
Santa Catalina,39,20,12,5,3,1.95
Pacific Grove,27,14,8,3,3,1.9285714285714286
Everett Alvarez,38,20,12,6,2,1.9
Pacific Ridge,38,20,12,6,2,1.9
James Lick,47,25,15,8,2,1.88
St. Ignatius,28,15,8,3,4,1.8666666666666667
Santa Cruz,37,20,11,5,4,1.85
Seaside,35,19,11,6,2,1.8421052631578947
