Date,Home Team,Home Score,Away Team,Away Score
2022-11-14,Pacific Collegiate,0,Scotts Valley,6
2022-11-15,More,3,Anzar,0
2022-11-16,ACE Charter,0,Del Mar,10
2022-11-17,Gonzales,0,Santa Catalina,0
2022-11-17,Anzar,0,Monte Vista Christian,6
2022-11-17,More,3,Hill,0
2022-11-21,CCPA,2,Pajaro Valley,11
2022-11-21,Notre Dame,0,Gonzales,0
2022-11-21,Everett Alvarez,2,Rancho San Juan,0
2022-11-22,Branham,1,Monta Vista,0
2022-11-22,San Lorenzo Valley,1,Half Moon Bay,3
2022-11-22,Everett Alvarez,9,King City,0
2022-11-22,Notre Dame,1,Hillsdale,0
2022-11-22,DCP El Primero,0,San Jose,10
2022-11-23,SHCP,2,Archbishop Riordan,0
2022-11-23,James Lick,9,Del Mar,0
2022-11-26,Rancho San Juan,1,Monterey,2
2022-11-26,Alisal,5,Monte Vista Christian,0
2022-11-26,Soledad,11,CCPA,0
2022-11-28,Pajaro Valley,9,CCPA,1
2022-11-28,Design Tech,0,Crystal Springs Uplands,5
2022-11-28,Monterey,6,San Lorenzo Valley,0
2022-11-29,Capuchino,1,Notre Dame,5
2022-11-29,Canyon Crest Academy,2,Pacific Ridge,0
2022-11-29,Notre Dame,0,Presentation,6
2022-11-29,Oceana,-1,Gateway,-1
2022-11-29,The Nueva School,1,Mercy,2
2022-11-29,Pinewood,5,More,0
2022-11-29,KIPP San Jose Collegiate,0,Monta Vista,9
2022-11-29,Gunn,4,King's Academy,0
2022-11-29,Scotts Valley,0,Harker,4
2022-11-29,Archbishop Riordan,1,Terra Nova,3
2022-11-29,San Mateo,0,Hillsdale,1
2022-11-29,Mills,0,Burlingame,11
2022-11-29,Design Tech,0,Aragon,15
2022-11-29,Sacred Heart Prep,2,Sequoia,2
2022-11-29,Menlo-Atherton,2,South San Francisco,0
2022-11-29,Half Moon Bay,0,Woodside,4
2022-11-29,Santa Cruz,4,Monte Vista Christian,1
2022-11-29,Milpitas,0,Prospect,1
2022-11-29,Gonzales,1,King City,2
2022-11-29,Lincoln,4,Carlmont,2
2022-11-29,Menlo School,9,Cupertino,0
2022-11-29,Gilroy,0,Christopher,1
2022-11-29,Los Gatos,4,Mountain View,2
2022-11-29,Overfelt,0,Leland,9
2022-11-29,Soquel,0,Hollister,4
2022-11-29,Santa Teresa,0,Pioneer,5
2022-11-29,Hill,0,Ann Sobrato,10
2022-11-29,Del Mar,0,Westmont,7
2022-11-29,KIPP Esperanza,1,Summit Preparatory,0
2022-11-30,SHCP,0,Lowell,0
2022-11-30,Anzar,0,York,7
2022-11-30,Beacon Hill,0,Santa Clara,14
2022-11-30,Branham,2,Homestead,2
2022-11-30,Soledad,7,Harbor,1
2022-11-30,North Monterey County,0,Scotts Valley,3
2022-11-30,Oakwood,2,DCP El Primero,0
2022-11-30,San Lorenzo Valley,0,Rancho San Juan,4
2022-11-30,James Lick,4,Silver Creek,4
2022-11-30,Cindy Avitia,0,Cristo Rey,2
2022-12-01,South San Francisco,0,Mercy,1
2022-12-01,The Nueva School,3,Castilleja,2
2022-12-01,Lincoln,6,Monta Vista,0
2022-12-01,Cupertino,-1,King's Academy,-1
2022-12-01,Mills,2,Capuchino,4
